economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin15,fin16,fin17a,fin19,fin20,fin21,fin22a,fin22b,fin24,fin25,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,account_fin,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy
"Korea, Rep.",KOR,131123648,2.272502716,Male,62,completed primary or less,Second 20%,in workforce,yes,yes,yes,no,no,yes,yes,yes,yes,,,,,,,,,no,no,yes,yes,yes,yes,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,,yes,no,yes,no,,,Yes,Yes,yes,yes,yes,no,,,Yes,Yes,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,1,,1,,,,,
"Korea, Rep.",KOR,126675759,0.566867915,Male,44,completed tertiary or more,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Savings,no,,,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,4,,4,,,,,
"Korea, Rep.",KOR,153755211,0.342467045,Male,62,secondary,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",yes,yes,no,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,126111787,0.390343843,Male,22,secondary,Richest 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,yes,Possible,Main source: Family or friends,yes,yes,no,,yes,no,yes,no,,,Yes,No,no,no,,,,,,,,,,,,,,,yes,yes,yes,no,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,145181860,0.520263122,Female,59,secondary,Middle 20%,out of workforce,yes,yes,yes,(dk),(dk),yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,(dk),,yes,yes,no,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,160955172,0.296560043,Male,52,secondary,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,yes,no,no,yes,no,Possible,Main source: Family or friends,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,121154985,1.841490097,Female,41,secondary,Richest 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,yes,Possible,Main source: Family or friends,yes,yes,no,,yes,no,no,no,yes,no,,,no,no,,,,,,,,,,,,,,,yes,yes,yes,no,yes,Main source: Family or friends,4,4,,1,,,,,
"Korea, Rep.",KOR,187573374,0.82948084,Female,29,secondary,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Money from working,no,,,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,no,into an account,4,4,,4,,,,,
"Korea, Rep.",KOR,199276967,0.395777214,Male,70,completed tertiary or more,Poorest 20%,in workforce,no,,,no,no,yes,yes,yes,yes,,,,,,,,,no,no,no,no,no,no,no,no,no,no,Not possible,,yes,yes,no,,yes,no,yes,no,,,Yes,Yes,yes,yes,yes,no,,,Yes,Yes,,,,,,,,,yes,yes,yes,no,yes,into an account,1,1,,1,,,,,
"Korea, Rep.",KOR,111751590,2.012711641,Male,16,secondary,Second 20%,out of workforce,no,,,no,no,no,,yes,yes,,,,,,,,,no,yes,no,no,yes,no,no,no,no,yes,Possible,Main source: Savings,no,,,,no,,,,,,,,yes,no,no,no,no,yes,,,no,,,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",1,4,,4,,,,,
"Korea, Rep.",KOR,177815186,0.349365824,Female,45,secondary,Poorest 20%,out of workforce,no,,,yes,no,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,yes,Not possible,,yes,yes,yes,,no,,,,,,,,yes,no,no,no,no,no,,,no,,,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",3,4,,1,,,,,
"Korea, Rep.",KOR,163781657,1.506177682,Male,45,completed tertiary or more,Middle 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,no,yes,yes,no,no,no,no,Possible,Main source: Money from working,yes,yes,yes,,yes,no,yes,no,,,No,,yes,no,no,no,no,no,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,3,4,,1,,,,,
"Korea, Rep.",KOR,205806113,0.295433107,Male,27,completed tertiary or more,Second 20%,out of workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,no,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",no,,,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,4,,,,,
"Korea, Rep.",KOR,115093628,1.21728176,Female,22,secondary,Richest 20%,out of workforce,yes,yes,yes,(dk),(dk),no,,yes,no,,,,,,,,,no,yes,no,no,no,no,no,no,no,no,(dk),,no,,,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,no,no,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,4,,,,,
"Korea, Rep.",KOR,190131982,0.639269371,Female,67,secondary,Poorest 20%,in workforce,no,,,no,yes,yes,yes,no,yes,,,,,,,,,no,yes,no,no,no,no,no,no,no,no,Not possible,,yes,yes,no,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,177145455,0.331361491,Male,45,secondary,Fourth 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,yes,yes,no,no,yes,yes,no,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,112753063,0.274464486,Female,48,completed tertiary or more,Middle 20%,out of workforce,no,,,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,no,yes,yes,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,203200866,1.146381457,Male,31,completed tertiary or more,Fourth 20%,in workforce,no,,,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,yes,no,yes,yes,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,yes,yes,no,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,171685550,0.640412691,Female,55,secondary,Fourth 20%,out of workforce,no,,,no,yes,yes,yes,yes,yes,,,,,,,,,no,no,no,no,no,no,no,no,no,no,Not possible,,no,,,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,4,,,,,
"Korea, Rep.",KOR,148856720,0.277444092,Male,49,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,yes,yes,yes,no,no,yes,no,Possible,Main source: Money from working,yes,yes,no,,yes,yes,yes,no,,,Yes,Yes,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,134577900,0.889338067,Female,29,completed tertiary or more,Poorest 20%,out of workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,no,into an account,1,4,,1,,,,,
"Korea, Rep.",KOR,164656272,0.487452666,Male,43,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,,yes,yes,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,132361851,2.272502716,Male,43,secondary,Richest 20%,in workforce,yes,yes,no,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,yes,no,yes,yes,no,Possible,Main source: Money from working,yes,yes,yes,,yes,no,yes,no,,,Yes,Yes,yes,no,no,no,no,no,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,3,4,,1,,,,,
"Korea, Rep.",KOR,118035498,1.301569548,Male,36,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,yes,yes,yes,no,no,yes,no,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,4,,1,,,,,
"Korea, Rep.",KOR,175857854,0.30119523,Male,53,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,no,yes,yes,no,no,yes,no,Possible,Main source: Money from working,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,171737662,1.062168547,Female,25,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,no,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,145609537,0.896303973,Female,54,completed tertiary or more,Fourth 20%,out of workforce,no,,,,,no,,,,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,Possible,Main source: Family or friends,yes,(dk),no,(ref),no,,,,,,,,yes,no,no,no,yes,no,,,no,,,,,,,,yes,no,no,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",2,4,,3,,,,,
"Korea, Rep.",KOR,190643351,0.49283095,Female,60,completed tertiary or more,Poorest 20%,out of workforce,yes,yes,yes,no,no,yes,yes,yes,yes,,,,,,,,,no,no,no,no,no,yes,no,yes,yes,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,yes,yes,yes,no,,,Yes,Yes,no,,,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",1,1,,1,,,,,
"Korea, Rep.",KOR,131715146,0.30119523,Male,46,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,yes,yes,no,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,187122354,1.533328338,Female,38,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,yes,yes,no,no,no,no,yes,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,Yes,No,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,179089247,0.328372598,Female,28,completed tertiary or more,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,134784456,1.37325266,Female,56,secondary,Poorest 20%,out of workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Savings,no,,,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,no,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,4,,,,,
"Korea, Rep.",KOR,123415066,1.001433781,Male,28,completed tertiary or more,Fourth 20%,out of workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,yes,yes,no,,,,,,yes,yes,yes,no,no,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,192531248,0.401810645,Male,74,secondary,Richest 20%,in workforce,no,,,no,no,yes,yes,yes,yes,,,,,,,,,no,no,no,yes,yes,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,,yes,yes,yes,no,,,No,,no,yes,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,1,,1,,,,,
"Korea, Rep.",KOR,115246893,2.272502716,Female,28,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,yes,no,yes,yes,yes,yes,,,,,,,,,no,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Family or friends,no,,,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,4,,4,,,,,
"Korea, Rep.",KOR,190472721,1.753110696,Male,46,completed tertiary or more,Poorest 20%,out of workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,127807689,2.011106244,Male,70,completed primary or less,Poorest 20%,in workforce,no,,,no,no,no,,yes,no,,,,,,,,,no,no,yes,no,no,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,,no,,,,,,,,yes,no,no,no,no,no,,,no,,,,,,,,yes,yes,yes,yes,no,"Main source: Borrowing from a bank, empoyer, or private lender",3,4,,1,,,,,
"Korea, Rep.",KOR,160341229,0.531315695,Male,72,secondary,Poorest 20%,out of workforce,no,,,no,no,no,,no,yes,,,,,,,,,no,no,no,no,no,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,,no,,,,,,,,no,yes,yes,no,,,,,no,,,,,,,,yes,yes,yes,no,no,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,,1,,,,,
"Korea, Rep.",KOR,146046201,0.395777214,Male,65,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,,yes,yes,yes,no,,,No,,no,yes,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,1,,1,,,,,
"Korea, Rep.",KOR,155427517,1.294730113,Male,61,secondary,Poorest 20%,in workforce,no,,,yes,yes,yes,yes,yes,yes,,,,,,,,,no,no,no,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,yes,yes,no,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,130096670,1.062168547,Female,33,completed tertiary or more,Richest 20%,out of workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,yes,yes,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,202699119,0.681888288,Female,53,secondary,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,no,no,no,no,no,no,Not possible,,yes,yes,no,,no,,,,,,,,yes,no,yes,no,,,,,no,,,,,,,,yes,yes,yes,no,no,"Main source: Borrowing from a bank, empoyer, or private lender",1,4,,1,,,,,
"Korea, Rep.",KOR,146556511,0.320032313,Female,34,secondary,Second 20%,out of workforce,yes,yes,yes,yes,yes,yes,no,yes,yes,,,,,,,,,yes,yes,no,no,yes,yes,no,no,no,no,Not possible,,no,,,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,no,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,4,,,,,
"Korea, Rep.",KOR,130741644,0.343289319,Male,69,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,no,no,yes,yes,yes,yes,,,,,,,,,no,no,yes,no,yes,yes,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,Yes,Yes,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,4,,1,,,,,
"Korea, Rep.",KOR,184419161,2.272502716,Male,15,secondary,Second 20%,out of workforce,no,,,,,no,,,,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,Possible,Main source: Family or friends,yes,(dk),no,(dk),no,,,,,,,,yes,no,no,no,no,no,,,no,,,,,,,,yes,no,no,no,no,"Main source: Borrowing from a bank, empoyer, or private lender",3,4,,3,,,,,
"Korea, Rep.",KOR,166339622,0.287416397,Male,48,secondary,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,no,no,yes,no,no,no,yes,Possible,Main source: Savings,yes,yes,no,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,no,yes,into an account,1,4,,1,,,,,
"Korea, Rep.",KOR,169683161,0.532505934,Male,60,secondary,Second 20%,in workforce,no,,,no,no,yes,yes,yes,yes,,,,,,,,,no,no,no,no,no,yes,no,no,no,no,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",yes,yes,no,,no,,,,,,,,yes,no,yes,no,,,,,yes,yes,no,,,,,,yes,yes,yes,no,yes,"Main source: Borrowing from a bank, empoyer, or private lender",1,4,,1,,,,,
"Korea, Rep.",KOR,124555758,0.481082616,Female,70,secondary,Second 20%,out of workforce,yes,no,,,,yes,yes,yes,yes,,,,,,,,,no,no,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,,no,,,,,,,,no,no,,,,,,,no,,,,,,,,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,,1,,,,,
"Korea, Rep.",KOR,181383992,0.329389096,Male,47,secondary,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,no,yes,no,yes,yes,no,no,no,no,Possible,Main source: Savings,yes,yes,yes,,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,122131869,0.402803383,Female,66,secondary,Middle 20%,out of workforce,no,,,,,yes,yes,,,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,(dk),no,(ref),no,,,,,,,,no,yes,(dk),no,(ref),(ref),,,no,,,,,,,,yes,no,no,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,3,,3,,,,,
"Korea, Rep.",KOR,163327290,2.272502716,Female,41,secondary,Middle 20%,in workforce,yes,yes,yes,yes,yes,no,,yes,yes,,,,,,,,,yes,yes,no,no,yes,yes,no,no,no,yes,Possible,Main source: Family or friends,yes,yes,no,,yes,no,yes,no,,,No,,yes,no,yes,no,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,1,4,,1,,,,,
"Korea, Rep.",KOR,208469004,1.606836581,Female,43,completed tertiary or more,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,yes,yes,no,yes,yes,yes,no,no,yes,no,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",yes,yes,no,,yes,no,yes,no,,,Yes,Yes,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
"Korea, Rep.",KOR,160260019,0.601247213,Female,41,completed tertiary or more,Poorest 20%,in workforce,yes,yes,no,no,no,no,,yes,yes,,,,,,,,,no,no,no,no,no,no,no,no,no,no,Possible,(dk),yes,no,no,yes,yes,no,yes,no,,,No,,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,no,into an account,4,4,,2,,,,,
"Korea, Rep.",KOR,159966560,0.226787163,Male,60,secondary,Poorest 20%,in workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,,,,,,,,,no,no,yes,yes,yes,no,no,no,no,no,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",yes,yes,no,,yes,no,yes,no,,,Yes,Yes,no,no,,,,,,,,,,,,,,,yes,yes,yes,yes,yes,into an account,4,4,,1,,,,,
